metric,n,mean,sample_std,min,max
best_epoch,5,48.2,78.8428817332294,8.0,189.0
best_val_ndcg10,5,0.0122961500659585,0.011120412566924712,0.007222332991659641,0.032188285142183304
test_ndcg5,5,0.007182393316179514,0.006747766075254561,0.0040017846040427685,0.01924930140376091
test_ndcg10,5,0.009406148083508014,0.008397856635505609,0.00543506583198905,0.02442699298262596
test_recall5,5,0.010815214272588492,0.01021170182077519,0.005927299149334431,0.029074667021632195
test_recall10,5,0.01768076829612255,0.015324255644247418,0.010421933606266975,0.045086801052093506
total_run_seconds,5,61069.0,67756.31292728375,26264.0,182056.0
optimizer_train_seconds,5,7174.2,8012.190817747665,3047.0,21482.0
validation_seconds,5,52931.8,59665.238315119466,22298.0,159470.0
test_eval_seconds,5,824.2,1.9235384061671346,822.0,827.0
inference_ms_per_user,5,23.15298612281589,0.054035013376232705,23.09118489802798,23.23164222709141
test_users_per_second,5,43.19116111084264,0.10071792616438793,43.044740024183795,43.306569343065696
peak_gpu_memory_mib,5,42798.6,135.85580591200363,42647.0,43011.0
