ActionPiece 五种子测试结果（均值 ± 样本标准差）

best_val_ndcg@10: 0.031520234 ± 0.000721866
ndcg@5: 0.018721009 ± 0.000747503
ndcg@10: 0.023806812 ± 0.000738226
ndcg@20: 0.029536385 ± 0.000864765
ndcg@50: 0.038433377 ± 0.001004477
recall@5: 0.028456654 ± 0.001121022
recall@10: 0.044244058 ± 0.001087796
recall@20: 0.067043093 ± 0.001562629
recall@50: 0.112225406 ± 0.002291651
err@5: 0.000000000 ± 0.000000000
err@10: 0.000000000 ± 0.000000000
err@20: 0.000000000 ± 0.000000000
err@50: 0.000000112 ± 0.000000251
training_wall_seconds: 181913.400000000 ± 458.332084847
test_wall_seconds: 830.400000000 ± 3.714835124
total_wall_seconds: 182744.000000000 ± 460.861692919

时间字段由日志首尾时间戳计算，为墙钟时间，不得解释为纯GPU计算时间或逐用户推理延迟。
