metric,n,mean,sample_std,min,max
best_epoch,5,195.2,3.7682887362833544,189.0,199.0
best_val_ndcg@10,5,0.031520234420895576,0.0007218656250366986,0.030560877174139023,0.032254815101623535
ndcg@5,5,0.01872100941836834,0.0007475030793568341,0.017964227125048637,0.019745729863643646
ndcg@10,5,0.02380681224167347,0.0007382264151242291,0.023041963577270508,0.02474883943796158
ndcg@20,5,0.02953638546168804,0.0008647652621537804,0.02861727960407734,0.030612269416451454
ndcg@50,5,0.03843337669968605,0.001004476778517297,0.0372973270714283,0.03954709321260452
recall@5,5,0.028456654399633408,0.0011210220476192512,0.027080172672867775,0.029945502057671547
recall@10,5,0.044244058430194855,0.001087795843734873,0.04283948615193367,0.045564357191324234
recall@20,5,0.06704309284687042,0.0015626291671961357,0.0651160180568695,0.06885218620300293
recall@50,5,0.11222540587186813,0.0022916513484118836,0.10916343331336975,0.11480981856584549
err@5,5,0.0,0.0,0.0,0.0
err@10,5,0.0,0.0,0.0,0.0
err@20,5,0.0,0.0,0.0,0.0
err@50,5,1.1236586487939348e-07,2.5125771222088004e-07,0.0,5.618293243969674e-07
training_wall_seconds,5,181913.4,458.3320848467844,181227.0,182515.0
test_wall_seconds,5,830.4,3.714835124201342,825.0,835.0
total_wall_seconds,5,182744.0,460.8616929188192,182052.0,183347.0
