representation,subset,NDCG@5,Recall@5,NDCG@10,Recall@10,NDCG@20,Recall@20,NDCG@50,Recall@50
semantic,all,0.010226,0.016237,0.013622,0.026799,0.018037,0.044356,0.024197,0.075397
semantic,sparse_user,0.011113,0.017404,0.014605,0.028270,0.019116,0.046159,0.025381,0.077786
semantic,cold_start_target,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
semantic,long_tail_target,0.000000,0.000000,0.000000,0.000000,0.000026,0.000100,0.000159,0.000803
behavior,all,0.010290,0.015956,0.013597,0.026237,0.017868,0.043345,0.025047,0.079639
behavior,sparse_user,0.010236,0.016034,0.013747,0.026945,0.018014,0.043995,0.025393,0.081452
behavior,cold_start_target,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
behavior,long_tail_target,0.000000,0.000000,0.000000,0.000000,0.000097,0.000402,0.000757,0.003714
fusion,all,0.012868,0.020226,0.016861,0.032670,0.021783,0.052306,0.029303,0.090230
fusion,sparse_user,0.013541,0.021512,0.017618,0.034233,0.022771,0.054817,0.030622,0.094483
fusion,cold_start_target,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000688,0.003155
fusion,long_tail_target,0.000102,0.000201,0.000261,0.000703,0.000535,0.001807,0.001064,0.004517
